Number of records, Number of threads, number of request/second, Action(methods), Total time in nano second), ProjectType

300,1,1,ALL,857743800,WEB_FLUX
300,1,1,ALL,62179700,WEB_FLUX
300,1,1,ALL,57175200,WEB_FLUX
300,1,1,ALL,53707300,WEB_FLUX
300,1,1,ALL,57842500,WEB_FLUX
300,1,1,ALL,64536800,WEB_FLUX
300,1,1,ALL,57499200,WEB_FLUX
300,1,1,ALL,54228800,WEB_FLUX
300,1,1,ALL,68326400,WEB_FLUX
300,1,1,ALL,56804100,WEB_FLUX

300,1,1,ALL,721772100,SPRING_MVC
300,1,1,ALL,6217500,SPRING_MVC
300,1,1,ALL,7951500,SPRING_MVC
300,1,1,ALL,5004600,SPRING_MVC
300,1,1,ALL,7302100,SPRING_MVC
300,1,1,ALL,5505100,SPRING_MVC
300,1,1,ALL,7652500,SPRING_MVC
300,1,1,ALL,4349300,SPRING_MVC
300,1,1,ALL,6548000,SPRING_MVC
300,1,1,ALL,4043400,SPRING_MVC

300,1,2,ALL,515502400,SPRING_MVC
300,1,2,ALL,4409100,SPRING_MVC
300,1,2,ALL,7436500,SPRING_MVC
300,1,2,ALL,6674700,SPRING_MVC
300,1,2,ALL,6413400,SPRING_MVC
300,1,2,ALL,6864500,SPRING_MVC
300,1,2,ALL,8823400,SPRING_MVC
300,1,2,ALL,6420200,SPRING_MVC
300,1,2,ALL,4686800,SPRING_MVC
300,1,2,ALL,5472800,SPRING_MVC

300,2,2,ALL,502226600,SPRING_MVC
300,2,2,ALL,4108400,SPRING_MVC
300,2,2,ALL,7745700,SPRING_MVC
300,2,2,ALL,7178300,SPRING_MVC
300,2,2,ALL,4626300,SPRING_MVC
300,2,2,ALL,4208600,SPRING_MVC
300,2,2,ALL,4718200,SPRING_MVC
300,2,2,ALL,4950400,SPRING_MVC
300,2,2,ALL,4203100,SPRING_MVC
300,2,2,ALL,4270000,SPRING_MVC

300,2,3,ALL,523106800,SPRING_MVC
300,2,3,ALL,3441700,SPRING_MVC
300,2,3,ALL,7035100,SPRING_MVC
300,2,3,ALL,4314000,SPRING_MVC
300,2,3,ALL,4172500,SPRING_MVC
